Age,Gender,Kids,Edu,Work Status,Annual Income,Current Occupation,How long have you held this position?: Years,How long have you held this position?: Months,Community size,Country of residence,Marital Status,Number of sons,Number of daughters,(DP 1) I waste a lot of time on trivial matters before getting to the final decisions,(DP 2) Even after I make a decision I delay acting upon it,(DP 3) I don’t make decisions unless I really have to,(DP 4) I delay making decisions until it’s too late,(DP 5) I put off making decisions until it’s too late,(AIP 1) I pay my bills on time,(AIP 2)I am prompt and on time for most appointments.,"(AIP 3)I lay out my clothes the night before I have an important appointment, so I won’t be late",(AIP 4) I find myself running later than I would like to be,(AIP 5) I don’t get things done on time,"(AIP 6) If someone were teaching a course on how to get things done on time, I would attend",(AIP 7) My friends and family think I wait until the last minute.,(AIP 8) I get important things done with time to spare,(AIP 9) I am not very good at meeting deadlines,(AIP 10) I find myself running out of time.,(AIP 11) I schedule doctor’s appointments when I am supposed to without delay,(AIP 12) I am more punctual than most people I know,"(AIP 13) I do routine maintenance (e.g., changing the car oil) on things I own as often as I should",(AIP 14)When I have to be somewhere at a certain time my friends expect me to run a bit late,(AIP 15)Putting things off till the last minute has cost me money in the past,(GP 1)I often find myself performing tasks that I had intended to do days before,"(GP2) I often miss concerts, sporting events, or the like because I don’t get around to buying tickets on time","(GP 3) When planning a party, I make the necessary arrangements well in advance","(GP 4) When it is time to get up in the morning, I most often get right out of bed",(GP 5) A letter may sit for days after I write it before mailing it possible,(GP 6) I generally return phone calls promptly,"(GP 7) Even jobs that require little else except sitting down and doing them, I find that they seldom get done for days",(GP 8) I usually make decisions as soon as possible,(GP 9) I generally delay before starting on work I have to do,"(GP 10) When traveling, I usually have to rush in preparing to arrive at the airport or station at the appropriate time","(GP 11) When preparing to go out, I am seldom caught having to do something at the last minute","(GP 12) In preparation for some deadlines, I often waste time by doing other things","(GP 13) If a bill for a small amount comes, I pay it right away",(GP 14) I usually return a “RSVP” request very shortly after receiving it,(GP 15) I often have a task finished sooner than necessary,(GP 16) I always seem to end up shopping for birthday gifts at the last minute,(GP 17) I usually buy even an essential item at the last minute,(GP 18) I usually accomplish all the things I plan to do in a day,(GP 19) I am continually saying “I’ll do it tomorrow”,(GP 20) I usually take care of all the tasks I have to do before I settle down and relax for the evening,(SWLS 1) In most ways my life is close to my ideal,(SWLS 2)The conditions of my life are excellent,(SWLS 3) I am satisfied with my life.,(SWLS 4) So far I have gotten the important things I want in life,"(SWLS 5) If I could live my life over, I would change almost nothing",Do you consider yourself a procrastinator?,Do others consider you a procrastinator?
16.5,Female,No Kids,ltuni,student,,0,0,0,Medium-Sized,United States,Single,0,0,5,5,4,5,3,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,3,5,4,3,5,5,5,5,5,5,4,4,5,5,5,5,5,4,3,3,3,3,3,yes,yes
32.5,Male,No Kids,ma,full-time,150000,Real estate developer,2,0,Large-City,United States,Single,0,0,3,3,4,3,3,2,2,5,3,3,2,3,5,3,3,4,3,4,2,4,4,3,4,4,2,4,4,3,5,3,3,5,2,2,4,4,4,4,5,4,4,4,4,4,3,yes,no
67.5,Female,Yes Kids,deg,unemployed,150000,0,0,0,,United States,Separated,3,7,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,5,3,4,2,5,5,5,3,3,3,4,5,3,5,3,4,3,5,4,4,5,5,5,5,4,3,1,1,2,1,yes,no
25,Male,No Kids,ltuni,student,10000,Tech Support,1,2,Large-City,United States,Single,0,0,4,3,3,5,5,4,1,3,5,5,5,5,5,1,5,4,1,4,1,4,5,1,5,5,1,2,5,5,5,1,1,5,4,4,5,5,5,1,5,5,4,5,2,2,1,yes,yes
28,Male,No Kids,ma,student,25000,0,0,0,Medium-Sized,United States,Married,0,0,5,4,2,4,4,1,1,1,2,2,2,1,1,2,4,4,2,2,2,2,4,2,2,4,2,2,5,4,4,1,2,4,2,3,3,4,5,4,4,4,2,4,1,2,2,yes,no
45,Female,No Kids,dip,full-time,150000,pr and communications firm owner,6,0,Medium-Sized,United States,Single,0,0,2,3,2,2,2,2,2,4,3,3,4,4,3,3,3,3,4,3,4,5,4,3,2,4,4,3,4,2,4,4,3,4,3,2,3,4,3,4,5,4,3,3,3,3,2,yes,yes
24,Male,No Kids,ma,full-time,87500,Software Developer,1,0,Small City,United States,Single,0,0,1,3,4,2,2,2,5,5,4,5,2,5,4,4,4,4,5,2,5,3,4,1,5,5,2,2,5,4,4,5,4,4,3,3,3,4,1,5,4,5,3,4,3,2,2,yes,yes
45,Female,Yes Kids,phd,full-time,87500,attorney,13,0,Large-City,United States,Married,Female,0,5,3,3,3,3,4,3,2,3,3,5,3,4,4,4,3,3,5,3,4,4,3,2,1,2,4,5,4,3,3,5,5,5,3,3,2,2,4,4,3,3,4,4,4,3,yes,yes
55,Female,Yes Kids,deg,full-time,35000,Geologist,4,0,Large-City,United States,Divorced,Male,1,4,2,4,2,2,1,1,5,3,3,1,3,3,1,3,3,2,4,2,2,3,2,3,4,4,5,4,3,1,2,3,3,1,2,3,4,2,4,2,5,3,4,4,4,3,yes,yes
32.5,Female,Yes Kids,ltuni,full-time,15000,Library technician,5,7,Rural/Country,United States,Separated,Male,1,4,5,3,2,1,4,4,5,5,4,5,5,2,3,5,4,3,5,3,5,3,3,5,5,5,3,3,1,3,5,5,4,5,5,5,5,5,3,3,5,1,1,3,3,3,yes,yes
45,Male,Yes Kids,ma,full-time,150000,manager,1,0,Large-City,United States,Married,Female,0,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,4,1,2,2,2,1,2,2,3,1,2,3,2,2,1,2,3,2,2,2,4,4,4,4,3,yes,no
16.5,Female,No Kids,ltuni,student,,please specify,999,0,Large-City,United States,Single,0,0,2,4,3,3,3,2,2,2,3,4,3,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,4,4,4,2,3,5,2,3,4,2,4,4,3,4,4,5,3,4,4,yes,yes
45,Male,Yes Kids,ltuni,full-time,150000,operations manager,9,0,Medium-Sized,United States,Married,Female,0,2,2,2,2,2,1,2,5,3,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,4,2,2,2,2,3,5,3,3,3,no,no
32.5,Female,No Kids,ma,full-time,25000,college professor,3,4,Medium-Sized,United States,Married,0,0,2,2,2,2,2,1,1,3,1,1,1,2,3,1,2,3,2,2,1,2,3,3,2,3,3,3,3,3,3,1,3,3,1,2,2,4,3,3,3,3,3,3,3,3,3,no,no
32.5,Female,No Kids,phd,full-time,45000,Surgical Resident,4,0,Small City,United States,Divorced,0,0,3,4,3,4,4,2,1,2,2,4,2,4,4,4,4,5,2,3,2,4,4,5,3,5,5,4,4,4,4,2,2,5,4,3,4,5,5,3,3,4,3,4,4,4,3,yes,no
55,Female,Yes Kids,phd,full-time,67500, teacher,1,3,Small City,United States,Married,Male,2,1,3,3,2,2,1,1,2,4,4,1,1,5,2,4,2,4,2,1,3,4,1,1,1,1,2,4,4,4,3,5,4,2,2,5,4,1,5,1,4,2,5,4,4,2,yes,no
28,Male,No Kids,deg,full-time,67500,Editor,6,0,Large-City,United States,Married,0,0,3,3,3,1,1,2,2,5,3,4,2,1,2,2,2,5,2,4,2,2,3,2,3,3,1,2,2,3,2,4,4,3,4,4,3,4,3,4,2,3,4,5,4,5,5,yes,no
55,Female,Yes Kids,ma,full-time,150000,Grants Administrator,5,0,Medium-Sized,United States,Married,Male,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,3,1,4,1,1,2,2,2,1,2,1,1,1,1,1,4,2,2,2,2,3,4,2,2,3,4,4,4,4,4,no,no
45,Female,No Kids,ma,full-time,150000,Senior Grant Officer,5,0,Large-City,United States,Married,0,0,3,3,3,3,3,2,3,4,4,4,2,5,3,2,3,3,5,2,5,4,4,2,2,4,4,2,3,4,3,2,4,3,2,2,3,5,3,2,3,3,5,5,5,5,5,yes,yes
55,Male,No Kids,phd,full-time,150000,Doctor; Physician,8,0,Large-City,United States,Married,0,0,3,4,4,3,3,1,1,1,2,3,3,2,4,3,3,4,2,4,2,3,2,2,2,5,4,2,2,4,4,1,3,3,2,2,3,5,3,4,4,3,4,4,4,4,4,yes,no
21,Female,No Kids,dip,part-time,10000, teacher,0,6,Small Town,United States,Single,0,0,3,2,4,2,2,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,3,2,2,2,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,4,2,4,4,4,no,no
28,Male,No Kids,deg,student,45000,Student part-time and sales full-time,1,6,Large-City,United States,Single,0,0,3,3,3,3,3,2,2,4,3,2,3,3,3,3,3,4,3,3,3,2,2,2,4,5,3,4,1,3,2,2,4,2,3,3,3,3,3,2,2,2,3,3,3,2,2,yes,no
45,Female,No Kids,ma,unemployed,10000,0,0,0,Small City,United States,Single,0,0,5,5,5,4,4,1,3,3,5,5,3,4,5,5,5,2,3,2,4,4,4,4,3,3,3,3,5,5,5,5,5,5,3,4,5,5,3,5,5,5,1,1,1,1,1,yes,yes
45,Female,Yes Kids,deg,retired,, houswife,14,0,Large-City,United States,Married,Male,4,1,1,1,1,1,2,1,4,5,2,5,1,3,1,5,1,1,1,1,3,5,1,1,5,1,1,3,1,3,1,5,5,1,1,3,1,1,5,4,5,5,5,5,5,3,yes,no
55,Male,Yes Kids,phd,full-time,150000,attorney,28,0,Medium-Sized,United States,Married,Male,2,3,3,1,2,2,1,1,4,2,2,1,1,2,1,1,4,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,3,3,4,3,4,4,4,3,3,4,4,4,4,3,no,no
16.5,Female,No Kids,lthigh,student,,0,0,0,Large-City,United States,,0,0,5,5,5,5,5,2,2,1,4,3,5,5,5,4,5,1,2,2,1,1,5,1,3,5,1,4,4,5,5,1,5,5,1,1,5,1,1,5,5,5,2,3,2,2,1,yes,yes
67.5,Female,Yes Kids,phd,part-time,250000,director,4,0,Large-City,United States,Married,Female,1,4,4,4,5,5,5,4,5,5,4,1,5,5,2,5,2,4,4,3,3,5,5,4,2,5,5,5,5,5,4,2,5,5,5,5,4,4,5,5,4,4,4,4,4,3,yes,yes
67.5,Male,Yes Kids,phd,full-time,150000,Psychiatrist in Private Practice,14,8,Large Town,United States,Married,3,3,2,1,1,1,1,2,1,5,2,2,1,1,2,1,2,3,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,3,3,3,2,2,3,2,2,5,5,5,5,4,no,no
32.5,Male,No Kids,ma,full-time,250000,Finance,7,0,Medium-Sized,United States,Single,0,0,4,4,3,3,3,1,1,5,4,4,5,5,4,3,4,5,2,4,2,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,5,1,3,2,3,2,yes,yes
21,Female,No Kids,ltuni,full-time,25000,Office Admin,0,6,Small City,United States,Single,0,0,4,5,4,4,4,3,4,5,5,5,1,5,4,5,5,3,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,1,2,2,2,1,yes,yes
37.5,Female,Yes Kids,ma,full-time,67500,School Counselor,2,0,Small Town,United States,Married,0,2,4,4,3,2,2,3,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,2,4,4,5,4,3,4,4,5,1,4,4,4,4,4,4,4,5,5,4,3,3,3,3,yes,yes
55,Female,No Kids,deg,full-time,25000,new realtor,1,1,Large Town,United States,Married,0,0,4,4,3,3,3,2,1,2,3,3,5,3,2,3,3,4,3,2,2,4,3,4,3,4,3,2,2,3,2,3,4,3,2,4,3,4,4,2,3,2,3,4,4,4,2,yes,no
45,Female,Yes Kids,ma,part-time,,Artist,1,0,Large-City,United States,Married,0,2,2,4,1,3,3,1,1,3,2,3,1,2,2,2,2,3,2,2,1,1,3,1,1,1,4,2,3,2,4,3,3,3,4,1,3,1,2,3,2,5,2,2,2,3,2,no,no
55,Female,Yes Kids,phd,part-time,67500,Medical / Public Health Educator,6,0,Large Town,United States,Married,Male,1,4,3,4,3,3,4,4,3,5,4,3,4,4,4,5,2,5,2,5,4,5,3,3,1,5,2,4,3,4,5,5,4,4,3,4,5,2,5,4,3,3,4,3,5,2,yes,yes
28,Female,No Kids,deg,full-time,25000,Computer Consultant,2,0,Small Town,United States,Married,0,0,3,3,3,3,3,3,1,3,4,3,2,3,3,3,3,4,4,5,3,4,4,2,2,5,4,4,3,3,4,3,4,3,5,4,3,4,3,5,5,3,2,3,3,4,2,yes,yes
67.5,Male,No Kids,deg,full-time,15000,self-employed freelance writer/author,23,0,Small City,United States,Married,0,0,5,5,4,4,3,2,2,5,5,5,1,4,5,3,4,2,3,5,3,5,5,4,3,5,4,5,5,4,5,4,5,5,1,2,4,2,2,5,4,5,1,1,1,1,1,yes,yes
55,Male,Yes Kids,phd,full-time,250000,college professor,30,0,Medium-Sized,United States,Married,Female,0,5,4,4,4,4,3,4,4,1,4,1,5,5,5,5,5,5,5,5,5,5,3,5,5,2,5,3,5,1,1,5,5,4,5,5,5,4,5,5,5,3,4,2,5,1,yes,yes
45,Male,Yes Kids,deg,unemployed,150000,0,0,0,Medium-Sized,United States,Married,Male,1,2,2,2,2,2,3,1,3,1,1,1,1,3,1,3,2,1,3,1,4,2,3,2,1,3,2,2,3,3,1,1,2,4,3,2,4,2,2,3,3,3,3,4,5,5,no,no
45,Female,Yes Kids,deg,full-time,67500,Insurance Agent,17,0,Large Town,United States,Married,Male,1,3,4,4,4,4,4,4,5,5,5,4,3,4,5,5,2,4,2,5,5,5,2,4,1,3,3,3,3,5,4,1,5,3,4,4,5,4,4,5,4,3,3,3,3,2,yes,yes
55,Female,Yes Kids,phd,full-time,150000,college professor,10,0,Large-City,United States,Married,Female,0,4,4,4,3,3,2,2,4,2,1,2,2,3,1,4,4,2,3,2,3,4,5,2,5,4,2,3,4,4,3,3,4,3,3,4,5,2,4,4,4,3,4,3,4,5,yes,no
45,Male,Yes Kids,ma,full-time,250000,0,3,0,Medium-Sized,United States,Married,Male,1,2,2,1,1,1,1,1,2,2,2,2,1,3,1,1,3,2,4,2,4,3,1,2,1,1,2,3,2,4,1,3,3,3,3,3,4,4,3,4,3,4,4,4,4,2,no,no
37.5,Female,No Kids,deg,full-time,150000,Marketing,2,10,Large-City,United States,Single,0,0,2,3,4,3,3,3,2,5,4,3,2,3,3,1,2,5,5,5,4,3,2,2,3,2,4,3,3,3,4,5,4,3,3,3,2,3,4,2,3,3,4,4,4,5,5,yes,no
37.5,Male,No Kids,deg,part-time,35000,please specify,2,0,Small City,United States,Married,0,0,4,4,4,4,4,3,4,4,4,5,3,5,4,3,5,4,3,3,3,3,5,2,3,3,4,2,4,3,4,3,4,4,4,4,4,4,3,5,4,4,3,2,2,2,2,yes,yes
32.5,Female,No Kids,ma,full-time,45000,0,0,0,Large-City,United States,Single,0,0,4,3,4,2,2,2,4,4,5,4,4,4,3,4,4,3,4,3,4,3,3,2,2,5,2,3,4,3,5,4,4,4,3,2,3,2,1,4,3,3,4,3,4,4,4,yes,yes
28,Male,No Kids,phd,student,55000,please specify,3,0,Large-City,United States,Married,0,0,2,1,2,1,1,1,3,4,4,5,4,2,4,1,3,3,3,3,2,1,4,2,2,3,2,2,3,3,3,3,4,4,3,3,3,2,2,2,3,3,5,5,4,5,5,yes,no
55,Male,No Kids,ltuni,part-time,15000,self employed,10,0,Large-City,United States,Divorced,0,0,3,3,4,3,4,4,1,5,3,3,3,3,4,4,4,3,3,2,2,5,5,2,2,3,2,1,4,4,4,3,2,3,4,2,4,4,2,4,5,5,2,2,3,2,4,yes,yes
67.5,Male,Yes Kids,phd,part-time,25000,0,17,0,,United States,Widowed,0,2,3,3,3,2,3,1,1,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2,2,1,2,2,3,3,3,2,2,3,1,1,3,3,2,1,3,2,4,4,4,5,4,no,no
21,Female,No Kids,deg,full-time,35000,Legal Assistant,0,6,Small City,United States,Single,0,0,3,4,2,2,2,1,3,3,5,3,3,5,4,2,3,4,5,3,4,4,4,2,3,5,3,2,3,4,4,2,3,4,2,2,4,4,4,4,4,4,4,4,5,5,4,yes,yes
45,Male,No Kids,ma,student,150000,student/imvestor,1,0,Medium-Sized,United States,Single,0,0,3,3,1,1,1,1,3,3,4,4,1,1,4,3,1,3,3,2,1,3,3,1,1,1,3,3,3,1,5,5,1,3,1,2,3,2,3,5,4,4,4,4,4,4,2,yes,no
28,Male,No Kids,deg,student,,please specify,0,9,Small City,United States,Single,0,0,4,4,4,3,3,2,2,5,3,1,1,3,5,1,2,4,3,3,2,3,4,1,5,2,3,3,3,4,4,3,3,4,3,4,5,3,3,4,4,4,1,1,1,1,1,yes,yes
19,Female,No Kids,high,part-time,10000,manager,0,4,Small City,United States,Single,0,0,3,4,3,3,3,2,2,4,4,3,4,4,5,2,4,4,2,5,3,3,5,2,3,5,5,4,4,3,4,4,4,4,2,3,5,4,4,5,5,5,3,3,3,4,4,yes,yes
28,Female,No Kids,ma,student,10000,Social Work Intern,1,0,Large-City,United States,Single,0,0,4,4,4,4,4,3,2,5,3,5,5,5,4,2,4,1,3,3,3,4,5,4,4,5,4,4,4,2,5,5,4,5,3,3,5,5,2,4,4,5,2,4,3,4,4,yes,yes
67.5,Male,Yes Kids,phd,full-time,55000,Attorney,30,0,,United States,Divorced,0,10,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,1,5,5,4,5,5,3,5,5,2,3,5,5,5,3,3,5,4,4,5,5,5,5,5,5,1,1,1,1,1,yes,yes
45,Male,No Kids,lthigh,unemployed,25000,please specify,30,0,Small Town,United States,Single,0,0,4,4,5,5,5,5,1,5,3,4,4,4,5,5,5,4,3,3,1,5,5,3,2,5,4,4,5,5,5,1,3,5,5,4,4,4,3,4,5,5,1,1,2,1,2,yes,yes
21,Female,No Kids,ltuni,full-time,35000,Administrative Asistant for Jewelry Stor,0,6,Small City,United States,Single,0,0,3,3,1,2,2,2,2,4,4,3,4,4,3,2,3,2,4,1,3,3,3,3,4,4,4,2,3,3,3,3,3,3,2,2,3,4,4,2,4,3,3,4,4,4,4,yes,yes
28,Male,No Kids,ma,full-time,55000,0,0,7,Medium-Sized,United States,Married,0,0,3,4,3,2,2,1,1,3,2,2,4,4,4,2,4,5,2,4,1,4,5,2,3,4,5,4,4,4,4,2,4,4,4,3,4,5,3,5,3,4,4,4,4,4,4,yes,yes
37.5,Male,Yes Kids,deg,full-time,150000,Computers,10,0,Small City,United States,Married,0,1,4,4,3,3,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,5,4,4,4,4,3,5,3,5,4,4,5,4,3,4,4,4,5,5,5,1,3,1,2,1,yes,yes
37.5,Female,No Kids,deg,student,10000,please specify,2,0,Large Town,United States,Single,0,0,3,3,2,1,1,1,2,1,3,4,2,3,3,3,2,1,3,2,2,3,5,1,1,3,1,1,4,3,5,2,2,5,1,2,4,4,3,4,5,4,2,2,2,2,1,yes,yes
37.5,Male,No Kids,deg,unemployed,35000,0,10,0,Large-City,United States,Single,0,0,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,3,2,2,3,3,2,2,3,4,3,3,3,2,2,3,3,2,3,2,3,2,yes,no
32.5,Male,No Kids,ltuni,full-time,87500,Bar & Restaurant Owner,1,6,Small City,United States,Single,0,0,4,2,3,3,3,4,2,5,3,4,1,4,4,2,3,5,3,5,3,4,4,4,2,4,3,3,4,4,4,2,2,3,4,3,4,4,3,3,4,4,3,4,3,2,1,yes,yes
22,Female,No Kids,ltuni,unemployed,10000,0,0,3,Medium-Sized,United States,Single,0,0,3,4,4,4,4,3,3,2,5,4,2,4,4,4,4,2,4,2,5,5,4,2,2,4,3,3,4,4,4,2,3,4,3,3,4,3,2,3,4,4,2,2,2,2,1,yes,yes
24,Female,No Kids,ma,student,15000,please specify,3,0,Medium-Sized,United States,Single,0,0,4,4,4,4,4,1,3,4,5,5,5,5,5,3,5,4,5,5,5,4,5,3,4,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,1,1,1,1,1,yes,yes
16.5,Male,No Kids,lthigh,student,10000,s,1,0,Small Town,United States,Single,0,0,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,2,2,2,4,4,4,4,2,2,4,2,4,2,4,4,2,4,2,2,2,4,4,2,4,2,4,4,4,4,4,yes,yes
55,Male,Yes Kids,ma,full-time,35000,Licensed Professional Counselor,28,0,Medium-Sized,United States,Married,0,1,3,4,3,2,2,3,1,4,3,4,3,4,4,3,3,3,3,2,2,4,3,1,3,1,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,yes,yes
45,Male,Yes Kids,ma,full-time,67500,supervising program development speciali,4,0,Small City,United States,Married,Male,1,2,2,2,1,1,1,2,5,2,2,3,3,2,2,2,1,3,3,4,1,2,1,1,3,3,3,3,2,4,1,2,3,2,2,2,1,1,3,3,4,4,4,3,4,2,yes,yes
20,Male,No Kids,ltuni,student,10000,please specify,2,0,Large-City,United States,Single,0,0,4,5,5,4,4,1,1,3,5,4,1,3,3,4,5,4,2,2,2,4,4,2,4,4,5,5,5,3,5,3,4,4,1,5,5,4,4,5,2,2,4,1,3,3,4,no,no
55,Male,Yes Kids,ma,full-time,55000,Computer Programmer,7,11,Large Town,United States,Divorced,Female,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,2,2,3,1,2,1,1,2,3,1,1,1,5,2,1,1,1,3,3,2,3,2,2,1,5,4,4,4,4,3,no,no
55,Female,No Kids,deg,unemployed,10000, houswife,14,0,Small City,United States,,0,0,4,5,4,4,5,1,3,5,4,4,3,5,5,4,4,4,3,5,3,4,5,1,3,5,4,2,4,4,4,3,3,4,2,4,4,4,4,5,5,5,3,3,2,3,1,yes,yes
37.5,Male,Yes Kids,ma,student,55000,please specify,5,6,Large-City,United States,Married,Male,0,3,4,4,3,3,2,1,5,3,3,4,2,4,3,4,2,3,1,1,4,4,4,2,3,3,3,3,3,5,1,3,3,4,4,4,1,3,4,3,2,3,3,3,4,2,yes,no
28,Male,No Kids,deg,student,15000,please specify,4,8,Small City,United States,Married,0,0,3,3,5,3,3,3,2,5,5,4,2,5,5,5,5,3,3,3,4,4,5,2,3,4,3,4,3,4,5,2,5,5,2,4,4,4,3,4,5,4,4,5,2,4,1,yes,yes
28,Female,No Kids,deg,full-time,45000,writer,2,8,Large Town,United States,Single,0,0,4,4,3,3,3,2,1,2,4,3,4,4,4,3,4,4,2,4,1,3,4,1,3,3,2,2,4,4,4,2,2,4,3,3,4,2,2,4,3,3,2,4,3,3,2,yes,yes
28,Female,No Kids,phd,student,25000,0,2,0,Small City,United States,Married,0,0,3,3,3,2,2,1,1,1,2,2,3,3,4,2,4,4,2,3,1,1,5,1,1,4,1,1,4,2,5,2,2,5,1,1,5,4,2,4,4,3,2,3,3,3,3,yes,yes
32.5,Male,No Kids,phd,full-time,35000,Scientist,2,0,Large-City,United States,Single,0,0,2,3,2,2,2,1,2,3,2,3,3,3,4,3,3,2,2,2,2,3,4,3,4,5,2,2,3,3,3,1,2,4,1,3,3,4,2,4,4,3,4,3,4,3,3,yes,no
37.5,Female,No Kids,ma,full-time,87500,attorney,4,0,Large-City,United States,Single,0,0,3,3,2,4,4,2,2,5,4,4,2,3,4,4,3,3,2,4,1,4,4,4,4,2,4,2,4,2,5,2,4,3,3,4,3,4,2,4,4,5,1,1,2,2,1,yes,no
28,Male,No Kids,phd,full-time,55000,Surgeon,5,9,Large-City,United States,Single,0,0,3,4,2,2,2,3,5,5,4,4,2,5,2,1,4,4,5,4,5,2,5,4,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,4,5,2,3,2,3,1,yes,yes
55,Female,Yes Kids,phd,full-time,250000,Attorney,0,3,Large-City,United States,Divorced,3,2,4,2,4,2,2,1,1,4,2,2,1,2,3,1,4,2,2,2,1,2,4,2,2,4,1,2,2,3,4,4,2,4,1,1,1,4,2,3,4,3,1,2,1,2,1,yes,no
67.5,Female,No Kids,dip,full-time,45000,writer,4,0,Large-City,United States,Married,0,0,2,2,2,1,1,1,1,2,3,1,4,1,1,1,3,1,1,1,1,1,3,3,1,2,3,3,4,2,3,1,4,3,4,3,1,5,2,3,3,3,4,4,4,5,3,yes,no
45,Male,Yes Kids,phd,full-time,150000,college professor,5,0,Large-City,United States,Married,Female,0,4,4,4,5,5,2,4,3,5,5,4,5,5,5,5,3,5,3,5,5,5,4,4,3,4,3,4,4,4,5,5,5,3,4,5,5,5,5,5,4,3,3,2,2,1,yes,yes
67.5,Male,No Kids,ma,retired,67500,Programmer/Developer,28,0,Medium-Sized,United States,Married,0,0,4,4,4,4,4,1,1,4,2,3,3,3,3,2,4,3,2,2,2,3,4,3,4,2,3,2,3,3,4,4,3,3,3,4,4,5,4,4,4,5,2,3,3,4,2,yes,no
16.5,Female,No Kids,lthigh,student,,0,0,0,,United States,Single,0,0,3,3,3,3,3,3,3,5,3,3,2,4,4,3,4,4,4,4,2,3,3,3,4,5,3,4,4,4,3,3,3,4,3,4,2,3,4,4,4,5,2,3,3,2,3,yes,yes
37.5,Male,No Kids,ltuni,student,10000,please specify,2,0,Large-City,United States,Single,0,0,4,5,5,3,3,4,1,5,2,5,1,3,5,5,4,5,2,5,1,5,4,1,3,1,5,4,5,3,5,1,3,5,5,4,5,4,5,5,5,5,2,3,3,2,1,yes,yes
22,Male,No Kids,deg,unemployed,10000,0,0,0,Large-City,United States,Single,0,0,3,3,5,3,2,2,2,4,3,2,4,4,5,3,5,3,2,5,2,3,5,3,4,5,5,2,5,3,5,3,4,4,4,2,4,5,5,5,5,5,2,3,2,2,4,yes,yes
32.5,Male,Yes Kids,phd,full-time,67500,assistant professor,1,4,Small City,United States,Married,0,2,3,3,2,1,1,1,2,2,3,2,2,3,3,2,3,3,4,3,3,1,3,2,4,3,2,1,2,2,3,3,2,3,2,4,3,5,2,4,2,4,3,3,4,5,2,yes,no
22,Female,No Kids,ltuni,part-time,10000,Master Control Operator,0,8,Large Town,United States,Single,0,0,4,4,3,4,4,3,2,3,2,3,3,4,4,3,3,3,3,4,3,5,3,2,3,3,4,2,2,4,3,2,2,3,3,4,3,4,3,3,2,2,3,3,4,3,3,yes,yes
28,Male,No Kids,deg,full-time,45000,Test Item Writer (Self-employed),3,1,Large-City,United States,Single,0,0,2,2,2,2,2,1,3,3,3,2,1,3,2,2,2,2,4,3,3,3,2,2,2,2,2,1,2,2,3,3,3,3,2,1,2,2,2,3,3,1,5,5,5,5,5,no,no
37.5,Female,No Kids,deg,full-time,67500,0,6,0,Large-City,United States,Married,0,0,2,3,2,2,2,2,1,1,1,2,3,3,3,3,3,3,2,4,1,3,3,2,2,2,3,3,3,3,4,2,5,3,3,2,3,5,3,3,3,4,3,4,3,3,2,yes,yes
55,Male,No Kids,ltuni,full-time,45000,Customer Service,3,0,Medium-Sized,United States,Married,0,0,2,2,4,2,2,3,1,5,4,2,1,2,3,2,2,5,2,3,1,1,3,1,2,1,1,4,1,2,2,1,4,2,2,3,3,2,2,2,1,3,3,2,3,3,5,no,no
67.5,Male,Yes Kids,phd,full-time,150000,0,30,0,Large Town,United States,Married,0,2,2,2,3,1,1,2,1,1,2,3,1,4,2,2,4,2,1,1,1,3,4,1,1,2,2,4,4,3,4,1,1,3,5,1,4,2,1,4,4,2,5,5,5,5,5,yes,yes
28,Female,No Kids,deg,full-time,25000,Receptionist,0,5,Large-City,United States,Single,0,0,2,3,2,2,2,2,1,1,2,2,3,3,3,2,3,4,1,4,1,5,3,1,3,4,1,3,3,3,3,1,3,3,3,3,4,3,3,4,3,4,2,2,2,2,1,yes,yes
