CntryOfRes,Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean,HDI,hdi_group
United States,45,Female,0,ma,full-time,67500,Editor,7,8,Small Town,Single,0,0,5,4,1,2,2,1,1,5,2,5,3,2,4,5,5,4,2,3,2,4,5,3,3,4,1,3,4,1,4,2,3,5,1,1,5,5,4,4,5,4,2,2,2,2,2,1,1,2.8,3.2,3.35,2,0.92,very high
United States,45,Female,0,ma,full-time,87500,manager IT,7,0,Large-City,Divorced,0,0,4,5,5,4,4,3,2,3,2,4,4,4,4,4,4,4,3,4,3,5,5,4,3,5,5,3,4,4,4,2,3,4,4,4,4,4,4,4,5,4,2,2,3,3,2,1,1,4.4,3.53,3.95,2.4,0.92,very high
United States,22,Male,0,ltuni,full-time,87500,Software & IT,2,0,Medium-Sized,Single,0,0,3,5,4,3,3,5,1,2,1,3,1,3,4,1,3,3,2,3,1,5,4,5,1,5,5,5,4,5,4,1,1,4,5,5,2,4,5,3,3,2,3,3,3,2,1,1,1,3.6,2.53,3.65,2.4,0.92,very high
United States,21,Female,0,ltuni,student,1e4,Nanny,3,0,Small City,Single,0,0,2,2,1,1,1,1,2,3,4,2,4,3,4,2,4,2,4,2,2,3,4,1,2,5,2,2,2,3,3,3,3,4,2,3,4,4,3,3,3,3,4,3,3,3,3,1,1,1.4,2.8,2.95,3.2,0.92,very high
United States,37.5,Female,0,phd,full-time,67500,Science,2,0,Large-City,Married,0,0,3,3,1,1,1,1,1,4,2,2,2,1,2,1,2,2,2,4,2,2,2,2,1,2,2,3,2,2,3,2,2,3,1,1,2,4,3,3,1,3,4,5,5,5,4,0,0,1.8,2,2.2,4.6,0.92,very high
United States,37.5,Male,0,deg,unemployed,1e4,NA,0,0,Large-City,Single,0,0,5,5,5,5,5,3,3,3,4,5,3,5,4,4,5,4,4,3,4,5,5,4,5,3,3,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,1,1,1,1,1,1,1,5,3.93,4.55,1,0.92,very high
United States,23,Male,0,deg,full-time,55e3,NA,0,4,Large-City,Single,0,0,2,2,3,2,3,1,4,5,3,2,2,3,3,2,3,4,3,3,4,2,3,4,2,4,5,5,1,4,3,4,3,3,1,3,3,5,4,4,4,4,2,4,2,3,3,1,1,2.4,2.93,3.45,2.8,0.92,very high
United States,45,Female,0,phd,full-time,87500,NA,0,9,Medium-Sized,Single,0,0,4,4,4,4,4,1,4,5,5,3,2,5,3,3,5,3,5,3,5,5,5,3,4,4,3,3,2,4,5,5,4,2,4,3,5,1,3,5,4,2,1,1,1,1,1,1,1,4,3.8,3.55,1,0.92,very high
United States,45,Female,1,ma,full-time,NA,Education,1,0,Small City,Married,1,1,5,3,5,2,2,2,1,3,4,2,4,3,3,2,4,5,3,4,4,1,3,1,3,4,3,1,3,5,3,4,4,2,1,4,2,5,5,4,4,2,3,3,3,5,4,1,0,3.4,3,3.15,3.6,0.92,very high
United States,25,Female,0,ma,student,25e3,Graduate Research Assistant,1,3,Large-City,Single,0,0,4,4,3,3,3,3,4,2,5,5,5,5,5,5,5,2,5,1,5,5,5,2,3,4,5,3,5,5,5,4,5,5,3,3,5,4,3,5,4,5,3,3,4,4,3,1,1,3.4,4.13,4.15,3.4,0.92,very high
United States,45,Male,0,deg,full-time,15e3,HVAC Tech,0,6,Small Town,Single,0,0,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,4,3,4,5,5,5,5,1,4,5,5,5,5,5,4,4,5,4,5,2,2,2,1,2,1,1,5,4.8,4.4,1.8,0.92,very high
United States,45,Male,0,ma,full-time,67500,Accountant,0,0,Medium-Sized,Single,0,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,4.93,5,1,0.92,very high
United States,45,Male,0,ma,full-time,67500,Accountant,0,0,Medium-Sized,Single,0,0,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,4.47,4.8,1,0.92,very high
United States,45,Male,0,ma,full-time,67500,NA,0,0,Medium-Sized,Single,0,0,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,4.47,4.8,1,0.92,very high
United States,32.5,Female,1,ma,full-time,67500,Marketing,4,0,Small City,Married,0,1,3,2,2,2,2,1,2,3,3,4,5,4,4,4,4,2,2,3,2,4,4,2,1,5,4,3,3,2,5,2,4,5,2,3,4,4,4,4,4,3,4,4,4,4,4,1,1,2.2,3.13,3.4,4,0.92,very high
United States,37.5,Female,0,ma,full-time,35e3,Writer,4,0,Large-City,Single,0,0,3,3,3,2,2,2,2,3,4,3,2,4,5,5,5,4,2,3,2,5,5,2,2,5,4,2,4,3,5,3,4,5,3,2,4,3,4,5,5,5,3,3,3,4,2,1,1,2.6,3.4,3.75,3,0.92,very high
United States,45,Female,1,deg,part-time,35e3,Healthcare Consultant,2,0,Large Town,Married,0,3,4,3,3,3,3,3,4,2,5,5,5,4,5,3,5,3,5,3,4,4,5,2,3,4,4,3,4,3,4,4,5,4,4,2,4,3,3,4,4,3,3,3,2,3,3,1,1,3.2,4,3.6,2.8,0.92,very high
United States,45,Male,1,dip,full-time,15e4,Sales,3,0,Large-City,Married,0,3,3,4,3,3,3,4,1,2,3,3,4,3,4,3,4,2,1,3,1,4,4,1,5,2,3,2,3,3,4,1,3,3,5,4,3,5,3,5,4,5,1,1,1,1,1,1,0,3.2,2.8,3.4,1,0.92,very high
United States,28,Male,0,dip,part-time,15e3,Diplomat,0,1,Large Town,Single,0,0,5,5,5,5,5,2,2,4,4,5,5,5,3,3,4,2,2,4,2,5,5,1,5,3,4,2,4,3,4,5,4,4,2,2,3,4,4,4,5,4,3,3,3,3,2,1,1,5,3.47,3.6,2.8,0.92,very high
United States,45,Male,0,deg,full-time,NA,NA,10,0,Small City,Single,0,0,2,2,2,1,1,1,1,2,3,3,1,2,3,1,4,2,2,2,2,3,3,2,2,2,3,2,3,3,3,3,3,3,2,2,3,5,3,3,3,2,3,4,4,3,3,1,NA,1.6,2.13,2.75,3.4,0.92,very high
United States,45,Male,0,ma,part-time,25e4,NA,5,0,Large-City,Single,0,0,4,4,4,4,4,1,1,4,2,5,4,4,5,5,4,3,2,2,2,4,3,2,2,2,2,3,4,4,5,3,3,4,2,5,4,3,3,5,5,4,3,3,4,3,2,1,1,4,3.2,3.4,3,0.92,very high
United States,37.5,Female,1,ma,NA,NA,houswife,1,1,Small City,Married,1,0,2,2,2,2,3,1,2,2,5,4,3,2,2,3,4,3,2,4,4,3,4,3,2,3,4,3,4,3,3,4,4,3,2,3,3,4,4,3,4,4,4,5,4,5,3,1,1,2.2,2.93,3.35,4.2,0.92,very high
United States,19,Male,0,ltuni,student,1e4,NA,NA,0,Medium-Sized,Single,0,0,2,3,2,2,2,2,1,5,2,2,1,5,3,1,5,5,2,4,1,1,4,1,3,4,1,3,4,2,5,1,2,5,1,3,4,1,2,4,5,5,3,4,4,5,5,1,1,2.2,2.67,3,4.2,0.92,very high
United States,55,Female,1,phd,retired,55e3,NA,5,0,Rural/Country,Married,1,1,3,3,2,1,1,1,2,3,4,4,2,4,3,1,1,1,4,4,4,3,4,1,1,5,2,3,3,2,4,3,4,3,3,2,3,3,2,5,5,5,4,4,4,5,4,1,1,2,2.73,3.15,4.2,0.92,very high
United States,32.5,Female,0,ma,student,25e3,NA,3,7,Large-City,Separated,0,0,5,5,3,3,3,1,2,1,3,5,4,3,3,3,5,4,3,2,2,2,5,3,3,3,2,3,4,4,5,3,3,5,1,1,4,3,3,5,5,4,2,3,1,1,4,1,1,3.8,2.87,3.45,2.2,0.92,very high
United States,55,Male,0,dip,unemployed,25e3,NA,0,0,Medium-Sized,Single,0,0,1,2,3,4,5,2,3,4,1,2,3,4,1,3,3,5,4,3,4,5,4,3,4,5,2,3,4,1,4,3,5,2,3,2,1,4,3,4,1,4,2,3,3,4,4,1,0,3,3.13,3.1,3.2,0.92,very high
United States,55,Female,1,ltuni,unemployed,25e3,Unemployed,17,0,Rural/Country,Married,3,0,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,3,1,1,1,5,4.87,4.6,1.6,0.92,very high
United States,67.5,Female,0,phd,full-time,15e3,researcher,30,0,Medium-Sized,Married,0,0,5,4,3,4,4,1,1,1,3,5,2,5,4,4,5,1,3,2,2,5,5,2,2,3,1,1,3,5,4,1,3,4,2,3,4,3,3,5,5,3,3,4,2,2,3,1,1,4,2.93,3.1,2.8,0.92,very high
United States,28,Female,0,ma,full-time,25e3,NA,4,0,Large-City,Married,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,1,5,1,1,2,1,1,1,1,5,5,5,5,5,0,0,1.2,1.2,1.5,5,0.92,very high
United States,55,Male,1,deg,full-time,15e4,Pharmacist,30,0,Rural/Country,Married,0,0,2,2,2,2,2,1,1,4,1,2,1,1,3,2,2,3,2,2,1,2,2,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,0,0,2,1.87,2.05,3.8,0.92,very high
United States,55,Female,1,phd,full-time,45e3,chiropractor,5,0,Large-City,Divorced,1,0,5,4,5,4,4,2,2,3,5,4,3,4,5,4,5,5,4,5,4,4,5,5,4,2,5,5,5,5,4,5,4,5,4,4,5,5,5,5,1,5,2,3,2,3,1,1,1,4.4,3.93,4.4,2.2,0.92,very high
United States,19,Female,0,ltuni,student,1e4,NA,0,0,Medium-Sized,Single,0,0,5,4,3,3,3,1,1,4,4,2,1,5,4,2,4,2,3,2,2,2,4,1,3,5,4,1,3,4,5,3,2,3,1,2,5,4,3,2,4,4,3,3,4,2,3,1,1,3.6,2.6,3.15,3,0.92,very high
United States,32.5,Female,1,ltuni,unemployed,25e4,houswife,6,3,Medium-Sized,Married,1,1,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,2,5,3,5,5,5,5,5,5,4,2,4,5,5,5,5,5,2,1,1,1,1,1,1,5,4.67,4.5,1.2,0.92,very high
United States,32.5,Male,0,phd,student,25e3,NA,2,0,Medium-Sized,Single,0,0,5,5,4,4,4,2,2,5,2,4,4,4,4,3,4,5,3,5,2,4,4,4,4,5,1,2,4,4,3,2,4,4,4,4,4,2,5,4,4,4,2,3,3,3,2,1,0,4.4,3.53,3.6,2.6,0.92,very high
United States,45,Female,0,phd,full-time,35e3,Education,6,0,Small City,Single,0,0,5,4,3,2,2,1,3,5,5,5,5,5,3,4,3,3,3,4,3,3,4,1,3,3,3,3,3,3,3,2,2,4,4,3,3,1,4,3,3,3,1,5,2,3,1,1,1,3.2,3.67,2.9,2.4,0.92,very high
United States,37.5,Male,1,ltuni,full-time,55e3,Information technology,4,0,Small City,Divorced,0,0,3,4,4,3,3,4,2,4,2,3,1,3,4,3,4,3,2,4,1,5,5,4,4,4,4,2,4,4,4,3,4,4,5,4,4,5,5,4,4,4,3,3,1,3,2,1,0,3.4,3,4.05,2.4,0.92,very high
United States,32.5,Female,0,dip,full-time,45e3,Executive Assistant,10,0,Large Town,Married,0,0,2,3,2,2,2,3,2,3,3,2,3,3,2,2,3,1,2,2,3,3,4,2,3,5,3,3,3,1,3,2,3,2,4,3,4,5,4,3,3,4,4,4,4,3,2,1,0,2.2,2.47,3.2,3.4,0.92,very high
United States,55,Male,1,ma,full-time,NA,Education,28,0,Small Town,Married,1,0,2,1,1,1,1,2,2,5,2,3,2,3,3,2,2,4,3,2,2,3,3,1,3,1,2,2,2,3,2,1,2,2,3,4,3,2,1,3,2,2,3,3,4,4,4,1,0,1.2,2.67,2.2,3.6,0.92,very high
United States,55,Male,1,deg,full-time,55e3,Respiratory Therapist,23,0,Medium-Sized,Married,0,1,4,4,3,3,3,1,1,3,3,2,2,3,2,2,3,1,2,2,2,3,4,2,2,1,2,2,3,2,4,3,2,3,3,3,3,4,3,4,3,3,4,4,4,4,4,1,1,3.4,2.13,2.8,4,0.92,very high
United States,28,Male,0,ltuni,full-time,87500,Insurance,2,0,Medium-Sized,Married,0,0,3,3,3,3,2,1,1,1,2,1,2,1,2,1,1,4,2,5,1,2,1,2,3,4,1,3,2,4,3,1,1,2,1,3,1,3,1,2,2,2,3,4,4,3,1,1,0,2.8,1.8,2.1,3,0.92,very high
United States,45,Male,0,ma,full-time,15e4,Computer Consultant,10,0,Medium-Sized,Married,0,0,1,3,1,1,1,1,2,5,2,2,1,1,4,2,2,1,2,2,2,4,2,1,1,4,1,1,3,1,4,1,1,3,3,1,3,1,1,4,4,4,3,3,2,2,2,1,0,1.4,2.2,2.2,2.4,0.92,very high
United States,45,Female,0,deg,full-time,45e3,Software & IT,6,1,Small City,Single,0,0,3,3,4,3,4,2,3,2,4,4,3,3,4,3,3,4,4,5,4,4,4,3,2,3,4,2,4,4,5,4,4,4,3,4,4,5,5,2,4,3,3,2,2,2,2,1,1,3.4,3.47,3.65,2.2,0.92,very high
United States,45,Female,0,deg,full-time,35e3,Information Technology Consultant,0,6,Medium-Sized,Single,0,0,3,3,3,2,2,2,2,4,3,3,3,3,4,3,4,4,3,4,2,4,5,2,3,4,2,2,5,4,3,2,4,3,4,3,4,4,4,4,5,4,1,2,2,1,1,1,1,2.6,3.2,3.55,1.4,0.92,very high
United States,67.5,Female,0,ltuni,retired,35e3,NA,0,0,Small City,Single,0,0,5,5,2,2,2,3,4,5,5,4,3,5,5,5,5,3,5,3,5,5,5,5,5,1,5,4,5,3,5,1,5,4,4,5,2,4,3,5,5,5,2,2,2,3,1,1,1,3.2,4.33,4.05,2,0.92,very high
United States,45,Female,0,deg,retired,15e3,retired,12,0,Large-City,Married,0,0,4,3,2,2,2,1,1,2,4,3,1,2,3,2,2,2,4,2,4,3,4,2,1,4,4,1,3,2,4,4,3,3,1,2,3,2,2,3,4,2,3,3,4,4,2,1,1,2.6,2.4,2.7,3.2,0.92,very high
United States,55,Female,0,phd,full-time,45e3,Science,23,0,Small City,Single,0,0,3,2,4,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,4,3,2,1,4,3,2,2,2,2,1,1,4,1,1,1,2,1,2,2,3,3,3,3,3,2,0,0,2.2,1.47,2,2.8,0.92,very high
United States,23,Female,0,deg,part-time,35e3,Office Manager,1,6,Large-City,Single,0,0,3,3,2,2,2,3,3,4,4,3,4,2,4,3,4,4,4,3,3,4,4,4,4,5,4,4,4,3,4,2,4,4,4,4,4,4,4,5,4,4,3,3,3,4,2,1,0,2.4,3.47,3.95,3,0.92,very high
United States,32.5,Female,1,ltuni,full-time,45e3,Administrative Assistant,5,0,Large Town,Married,0,1,4,2,3,2,2,4,2,4,4,2,4,2,3,1,5,2,2,4,1,4,5,1,3,5,5,3,5,3,3,3,3,4,4,3,4,5,4,5,4,5,4,3,3,3,4,1,0,2.6,2.93,3.85,3.4,0.92,very high
United States,67.5,Female,0,ltuni,full-time,45e3,self-employed Photographer,30,0,Large-City,Divorced,0,0,3,3,3,2,2,2,3,3,4,4,3,5,4,3,4,2,3,3,4,5,5,3,4,1,3,3,4,3,4,5,4,5,3,3,4,5,4,5,4,4,3,3,3,3,2,1,1,2.6,3.47,3.8,2.8,0.92,very high
United States,55,Female,0,deg,full-time,45e3,Business Owner,17,0,Medium-Sized,Married,0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,3.93,4.6,1,0.92,very high
United States,37.5,Male,1,deg,full-time,45e3,Warehouse Supervisor,1,9,Small City,Married,0,1,3,3,1,2,3,4,1,5,2,2,2,2,3,3,4,3,1,5,1,2,3,2,5,4,1,3,2,3,4,3,2,2,5,5,4,4,4,4,4,4,1,2,2,1,5,1,1,2.4,2.67,3.4,2.2,0.92,very high
United States,20,Female,0,ltuni,student,NA,NA,0,0,Large-City,Single,0,0,3,2,2,1,1,1,4,4,4,3,4,5,4,2,5,5,5,3,4,5,4,2,1,5,4,3,3,4,5,4,4,5,2,4,4,3,3,3,4,5,4,5,2,4,3,1,1,1.8,3.87,3.6,3.6,0.92,very high
United States,67.5,Male,0,dip,full-time,35e3,Writer,30,0,Small City,Divorced,0,0,2,2,2,2,1,2,2,3,3,3,1,2,4,3,2,2,4,3,2,2,2,1,4,5,4,2,4,4,4,3,2,4,2,3,4,4,3,4,3,4,2,2,4,3,2,1,1,1.8,2.53,3.3,2.6,0.92,very high
United States,24,Female,0,deg,full-time,35e3,Server,5,0,Medium-Sized,Single,0,0,3,3,1,1,1,1,3,5,5,5,1,5,3,3,5,5,5,5,4,5,5,1,1,5,5,5,5,2,5,5,5,5,4,5,3,5,5,5,5,5,1,1,1,2,1,1,1,1.8,4,4.3,1.2,0.92,very high
United States,55,Male,1,deg,full-time,67500,Director of non-profit organization,8,6,Small City,Married,3,1,4,4,3,3,3,3,3,4,3,3,2,4,4,3,3,3,3,3,4,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,2,3,4,2,4,3,3,2,4,1,1,1,3.4,3.27,3.45,2.6,0.92,very high
United States,55,Male,0,deg,full-time,15e4,Insurance,5,0,Medium-Sized,Married,0,0,4,4,3,3,3,2,1,5,1,1,2,1,3,2,3,3,2,1,1,3,3,2,2,1,3,1,3,4,4,4,1,3,4,4,4,3,4,3,4,3,3,3,3,4,2,1,0,3.4,2.07,3,3,0.92,very high
United States,45,Female,0,ma,full-time,87500,Sr. Drug Safety Associate,4,2,Large Town,Divorced,0,0,1,1,1,1,1,2,2,4,3,3,1,2,1,2,2,1,3,1,4,3,3,1,1,1,2,1,3,1,3,1,4,3,2,1,3,1,1,2,1,3,3,4,4,3,2,1,0,1,2.27,1.9,3.2,0.92,very high
United States,45,Female,0,high,full-time,67500,Electrical Technician,14,0,Large-City,Married,0,0,5,5,5,5,5,2,5,3,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,3,5,5,1,1,1,5,1,2,2,2,3,3,1,1,5,4.33,3.7,2.4,0.92,very high
United States,55,Female,1,high,student,45e3,NA,0,9,Small Town,Married,0,4,5,5,5,4,4,3,2,5,4,5,5,5,4,4,5,5,3,4,4,5,5,2,3,3,5,4,5,4,5,3,3,3,4,5,5,5,3,5,5,5,3,2,3,4,2,1,1,4.6,4.2,4.1,2.8,0.92,very high
United States,55,Male,0,deg,full-time,87500,engineer,17,0,Medium-Sized,Married,0,0,3,3,3,2,2,1,1,3,1,2,3,2,1,2,3,2,1,2,1,2,3,2,2,4,2,2,3,2,4,1,4,3,1,1,3,3,2,4,3,4,3,3,3,4,3,1,0,2.6,1.8,2.65,3.2,0.92,very high
United States,28,Female,1,deg,part-time,15e3,Writer,1,0,Small City,Married,0,1,5,5,5,5,5,4,4,5,5,5,4,5,5,2,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,3,4,5,5,3,3,5,5,5,5,3,3,4,3,4,2,1,1,5,4.53,4.45,3.2,0.92,very high
United States,28,Male,0,ma,student,1e4,Writer,1,0,Medium-Sized,Single,0,0,3,4,4,4,4,4,2,3,2,3,2,3,5,2,4,4,5,4,2,4,3,2,3,3,5,3,3,4,5,3,3,5,4,4,4,3,3,3,3,4,4,3,4,4,4,1,1,3.8,3.27,3.5,3.8,0.92,very high
United States,25,Male,0,deg,full-time,25e4,Private Equity Principal,1,4,Large-City,Single,0,0,3,1,1,1,1,1,3,5,5,4,1,5,4,3,5,2,4,3,4,5,4,1,2,3,1,1,3,1,5,4,3,4,1,2,2,3,2,3,5,4,4,5,4,4,3,1,1,1.4,3.6,2.7,4,0.92,very high
United States,32.5,Female,0,ma,full-time,45e3,Art Director,1,0,Large-City,Single,0,0,2,2,2,1,1,1,3,3,4,3,1,1,3,2,2,3,3,4,2,3,3,2,1,2,2,2,3,2,3,2,3,3,4,2,3,4,3,2,2,2,4,4,4,4,3,0,0,1.6,2.53,2.5,3.8,0.92,very high
United States,55,Female,0,deg,unemployed,35e3,NA,0,0,Large-City,Divorced,0,0,4,4,4,3,3,2,3,5,5,3,2,3,4,3,3,3,4,3,4,4,4,2,4,4,2,2,4,3,4,3,2,4,4,4,4,5,4,4,4,4,3,2,3,2,2,1,1,3.6,3.4,3.55,2.4,0.92,very high
United States,25,Male,0,ma,student,25e3,NA,3,0,Large-City,Single,0,0,2,4,1,2,2,4,4,5,5,5,4,5,4,4,5,2,4,2,4,5,4,5,4,5,5,4,4,3,4,4,4,5,4,4,5,4,4,4,4,3,2,2,2,2,2,1,1,2.2,4.13,4.15,2,0.92,very high
United States,24,Female,0,dip,full-time,35e3,Social Worker,2,6,Medium-Sized,Single,0,0,2,4,4,3,2,2,2,1,3,2,1,2,3,2,2,3,3,3,3,3,3,3,2,5,2,2,3,4,3,2,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,1,0,3,2.33,3,3.8,0.92,very high
United States,45,Female,0,deg,unemployed,NA,NA,0,0,Small City,Single,0,0,2,2,2,2,2,1,1,2,3,2,1,2,3,3,4,4,3,4,3,4,4,3,2,2,2,1,4,2,3,1,3,4,2,2,3,3,3,3,3,2,4,4,4,4,4,0,NA,2,2.67,2.6,4,0.92,very high
United States,37.5,Female,0,ma,full-time,55e3,Research Associate,1,6,Medium-Sized,Single,0,0,3,2,2,2,2,2,2,3,4,2,3,2,4,2,3,3,4,4,3,4,4,3,3,4,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,4,4,3,1,0,2.2,3,3,3.4,0.92,very high
United States,55,Female,1,ma,full-time,55e3,Education,30,0,Large Town,Divorced,1,0,3,1,2,1,2,1,1,2,3,2,2,1,4,2,2,3,3,2,2,2,2,1,2,2,2,2,2,3,3,1,2,2,2,3,4,4,3,2,3,2,3,4,4,4,3,1,0,1.8,2.13,2.35,3.6,0.92,very high
United States,67.5,Male,1,ma,retired,25e4,retired,5,0,Large Town,Married,0,0,1,3,1,1,1,1,1,5,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,2,1,3,1,3,2,1,1,3,1,2,2,2,1,3,2,2,5,5,5,5,5,1,0,1.4,1.47,1.8,5,0.92,very high
United States,22,Female,0,dip,student,1e4,NA,0,9,Large-City,Single,0,0,2,2,4,3,3,1,1,5,2,2,3,4,4,1,3,5,2,3,2,1,4,4,4,5,4,4,4,3,4,1,3,3,2,2,4,4,4,4,4,4,4,4,4,2,2,1,1,2.8,2.6,3.55,3.2,0.92,very high
United States,55,Male,1,deg,full-time,45e3,Education,13,0,Small City,Married,1,1,2,3,2,2,2,2,1,3,2,2,1,1,2,2,3,3,2,2,2,3,3,2,2,2,4,2,2,2,2,2,3,3,2,4,3,3,3,2,3,2,3,3,3,3,3,0,0,2.2,2.07,2.55,3,0.92,very high
United States,55,Male,0,ma,retired,67500,NA,2,0,Medium-Sized,Separated,0,0,2,2,2,2,1,2,2,3,3,3,2,2,3,2,2,2,3,2,2,2,3,1,2,3,2,2,2,2,3,3,4,2,4,2,3,3,2,3,2,2,4,4,4,4,4,1,0,1.8,2.33,2.5,4,0.92,very high
United States,19,Female,0,ltuni,student,1e4,NA,2,0,Large-City,Single,0,0,4,4,3,4,4,1,3,5,3,2,1,4,4,1,2,2,3,4,2,2,4,1,2,3,3,2,4,3,5,4,3,4,2,2,4,4,3,4,5,5,3,3,4,3,3,1,0,3.8,2.6,3.35,3.2,0.92,very high
United States,45,Female,1,dip,full-time,67500,Creative Director,10,0,Small City,Married,0,3,3,3,4,2,2,2,4,3,4,2,4,5,3,1,3,4,5,3,1,3,3,1,2,4,4,3,3,4,3,5,5,5,3,4,4,5,5,3,3,3,4,3,4,4,3,1,1,2.8,3.13,3.6,3.6,0.92,very high
United States,32.5,Female,0,phd,full-time,15e4,Attorney,1,0,Large-City,Single,0,0,4,2,3,1,1,1,2,3,2,1,2,2,3,2,2,3,4,2,2,2,3,3,2,4,2,2,4,4,4,2,3,5,2,3,4,3,3,3,2,3,3,3,4,4,3,1,1,2.2,2.2,3.05,3.4,0.92,very high
United States,28,Female,0,ma,student,15e3,NA,3,0,Small City,Single,0,0,3,3,3,2,2,3,3,4,4,3,3,4,3,3,3,2,4,3,4,3,3,2,2,3,4,4,3,3,3,2,4,3,3,4,3,3,2,3,3,3,5,5,5,5,4,1,1,2.6,3.27,3,4.8,0.92,very high
United States,24,Female,0,deg,full-time,45e3,Education,2,0,Small City,Single,0,0,2,3,4,2,2,1,2,1,4,1,4,3,4,2,2,3,3,2,3,3,4,3,3,4,5,3,3,3,4,2,3,3,4,3,3,3,2,4,3,4,3,4,3,4,3,1,1,2.6,2.53,3.3,3.4,0.92,very high
United States,32.5,Male,0,ltuni,student,15e3,NA,3,0,Large-City,Single,0,0,4,4,5,3,3,1,1,3,2,3,1,4,5,3,5,2,1,3,2,2,4,1,5,4,4,3,4,4,5,1,2,4,2,3,5,5,4,5,3,5,2,3,2,2,1,1,1,3.8,2.53,3.65,2,0.92,very high
United States,25,Female,0,ma,full-time,35e3,Law clerk,0,8,Medium-Sized,Single,0,0,1,1,1,1,1,3,2,1,2,2,4,1,1,1,1,4,3,4,1,3,2,1,1,1,1,1,3,4,5,2,1,4,5,4,3,5,5,4,5,2,4,5,5,5,5,1,0,1,2.2,2.95,4.8,0.92,very high
United States,25,Female,0,deg,full-time,35e3,Editor,1,4,Large-City,Married,0,0,3,3,3,2,2,1,1,2,3,2,4,3,3,1,2,2,3,4,3,1,2,1,2,4,2,3,2,2,4,1,2,3,2,1,2,2,1,2,2,1,4,5,5,5,5,1,0,2.6,2.33,2.05,4.8,0.92,very high
United States,45,Male,0,ltuni,full-time,25e3,president/CEO,1,6,Large-City,Married,0,0,4,3,3,4,4,2,1,5,2,3,5,4,3,3,4,2,2,3,2,3,3,2,4,5,3,4,4,3,4,1,5,2,2,3,4,3,3,4,4,5,2,1,3,3,2,1,1,3.6,2.93,3.4,2.2,0.92,very high
United States,55,Male,1,ma,full-time,45e3,Pastor ; Life coach  clergy,17,0,Village,Married,0,0,4,4,4,4,3,3,3,5,3,5,5,5,5,5,5,3,4,4,4,4,4,4,5,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,1,1,3.8,4.2,3.8,2.4,0.92,very high
United States,28,Male,1,high,unemployed,35e3,Marketing,4,0,Large-City,Married,0,1,4,5,4,4,4,4,2,4,4,5,5,5,5,5,5,4,2,3,2,5,5,5,5,4,4,3,5,4,5,5,3,5,4,4,4,4,4,5,5,5,3,1,1,4,1,1,1,4.2,4,4.4,2,0.92,very high
